customer_number,offer_acepted,reward,mailer_type,income_level,banks_accounts_open,overdraft_protection,credit_rating,credits_cards_held,homes_owned,household_size,own_home,average_balance
114,0,1,1,1,2,0,0,1,1,4,1,928.25
115,0,2,1,2,1,0,1,2,1,3,1,1397.25
116,0,2,1,0,2,0,0,1,2,5,0,1034.5
117,0,0,1,1,1,0,0,2,1,5,1,738.5
118,0,1,1,2,1,0,2,2,1,4,1,1251.5
119,0,2,1,0,1,0,2,1,1,5,1,1153.75
120,0,1,1,2,1,0,1,2,1,4,1,864.0
121,0,1,0,1,1,0,2,3,1,2,0,1155.5
122,0,1,1,2,1,0,2,1,2,5,0,1090.5
123,0,1,0,0,1,0,1,2,1,4,0,1090.5
124,0,0,0,0,1,0,0,2,1,3,1,773.75
125,0,0,1,1,1,0,1,2,1,3,1,1052.0
126,0,0,1,1,1,0,1,2,1,4,1,944.25
127,0,2,0,1,1,0,2,1,2,4,0,1147.25
128,0,1,0,2,1,0,2,2,1,3,1,1159.5
129,0,0,1,2,1,0,2,1,1,3,0,836.5
130,0,1,0,1,2,0,1,2,1,3,1,1057.75
131,0,1,1,1,1,0,1,3,1,5,0,714.75
132,1,0,1,2,2,0,1,2,2,3,1,811.5
133,0,1,0,1,1,0,2,2,1,3,0,865.75
134,0,1,1,1,1,0,0,1,1,3,1,887.25
135,0,1,0,2,1,0,1,2,1,5,0,1791.75
136,0,2,1,2,1,0,2,2,1,3,1,1083.0
137,0,2,0,1,2,0,0,1,1,2,1,212.5
138,0,1,0,1,1,0,0,2,1,2,0,877.75
139,0,0,0,1,1,0,2,2,1,3,0,691.5
140,0,0,1,0,2,0,1,2,2,4,1,814.5
141,0,2,1,1,1,0,1,2,1,4,1,955.5
142,0,1,0,2,1,0,2,2,1,4,1,1281.5
143,0,0,0,2,1,1,0,2,1,3,1,937.5
144,0,2,0,1,3,1,1,2,1,3,1,919.75
145,0,2,1,1,3,1,2,1,1,3,1,879.75
146,0,2,0,1,1,1,0,4,1,4,0,1181.0
147,0,0,1,0,1,0,1,1,2,3,0,1153.5
148,0,2,1,2,1,0,2,2,1,4,1,794.25
149,0,2,1,1,1,1,0,3,1,4,1,927.25
150,0,2,0,1,1,0,1,3,1,2,0,1809.0
151,0,1,0,0,1,0,1,1,1,5,0,1156.25
152,0,0,1,2,1,1,0,2,1,4,0,1121.5
153,0,1,0,2,1,0,1,2,1,4,1,1203.0
154,0,2,0,2,2,0,0,1,1,1,0,246.25
155,0,0,0,0,2,0,0,1,1,4,1,1454.75
156,0,2,1,2,1,0,0,2,1,2,0,687.0
157,0,2,1,2,2,1,0,1,1,3,1,928.0
158,0,2,1,2,1,0,0,2,1,2,0,933.0
159,1,1,1,1,3,0,0,1,1,5,0,1133.25
160,0,1,0,1,1,0,0,3,2,5,1,1301.5
161,0,1,0,2,2,0,1,1,1,2,1,1199.0
162,0,2,0,1,2,0,0,1,1,3,1,1084.25
163,0,1,1,0,1,0,2,2,1,2,0,1094.5
164,0,2,0,2,1,1,2,1,1,3,1,1104.0
165,0,0,0,2,1,0,0,1,1,4,1,1042.5
166,0,1,1,1,1,0,2,1,1,5,1,1089.75
167,0,2,1,1,1,0,1,2,1,3,1,974.25
168,0,0,1,1,2,0,2,2,1,3,1,991.5
169,0,2,1,0,1,1,1,2,1,3,1,1204.25
170,0,0,1,1,1,0,0,2,1,5,0,865.0
171,0,2,1,1,1,0,2,2,1,2,1,1144.0
172,0,0,0,1,1,0,1,3,2,4,1,958.5
173,0,1,0,1,1,0,0,2,2,3,1,1056.25
174,0,2,0,1,1,0,1,3,1,3,1,695.0
175,0,1,1,0,1,0,2,4,1,2,1,1237.5
176,0,1,0,0,1,0,2,2,1,5,1,1034.0
177,0,1,0,2,1,0,2,1,1,4,1,1246.5
178,0,1,0,1,1,0,0,2,1,2,0,998.75
179,0,2,1,2,1,0,1,2,1,3,1,1028.0
180,0,2,1,1,2,0,2,2,1,2,0,320.0
181,0,2,0,0,2,0,2,1,2,3,1,91.25
182,0,2,0,2,2,1,1,1,1,3,1,166.25
183,0,0,0,1,2,1,0,3,1,2,0,240.0
184,0,2,1,1,1,0,1,2,1,5,0,124.75
185,0,0,0,2,1,0,0,1,1,3,0,1145.75
186,0,2,1,1,3,0,0,2,1,6,0,1292.5
187,0,2,0,1,1,1,2,2,2,3,1,1186.0
188,0,0,1,1,2,0,2,1,1,5,1,1135.25
189,0,1,0,0,1,0,0,3,1,4,1,1279.25
190,0,0,1,2,1,0,0,2,2,3,1,1162.0
191,0,1,1,1,1,0,0,2,1,3,0,954.5
192,0,1,1,1,1,0,1,2,1,3,1,1073.25
193,0,2,0,1,1,0,1,1,1,4,1,889.0
194,0,2,0,1,1,0,0,1,1,3,0,294.25
195,0,0,1,0,2,0,0,3,1,3,1,1047.5
196,0,0,0,0,2,0,0,1,1,3,1,661.25
197,0,1,0,1,2,0,1,3,1,2,1,158.75
198,0,1,1,2,1,0,1,2,2,3,1,1059.0
199,0,0,0,0,1,0,1,1,1,2,1,1741.75
200,0,2,1,2,1,0,0,1,1,4,1,1419.5
201,0,1,0,1,1,0,0,2,1,3,1,232.5
202,0,2,0,1,1,0,2,2,1,3,0,1122.5
203,0,1,1,1,2,0,0,1,1,4,0,1250.75
204,0,0,0,1,1,0,2,3,2,2,1,1057.0
205,0,2,1,2,1,0,0,1,2,4,0,1195.0
206,0,0,0,1,2,1,2,1,1,3,1,936.25
207,0,0,1,2,1,0,0,1,1,5,1,791.5
208,0,1,0,1,2,0,2,1,1,4,1,1426.0
209,0,0,0,0,2,0,2,2,1,4,1,764.75
210,0,0,0,1,1,0,2,2,1,3,1,830.0
211,0,0,0,0,1,0,2,2,1,3,0,1162.25
212,0,1,0,1,2,0,2,2,2,3,1,1065.5
213,0,1,0,1,1,1,0,1,1,3,1,1022.25
214,0,1,1,1,1,0,0,4,1,5,1,1181.0
215,0,0,1,0,1,0,1,3,1,4,1,1764.0
216,0,1,0,0,2,0,0,2,2,2,0,1043.25
217,0,2,0,1,1,0,2,2,1,3,0,1702.0
218,0,0,1,2,1,0,1,2,1,4,0,856.0
219,0,0,0,1,1,0,1,2,1,5,0,390.75
220,0,0,1,0,1,0,0,3,2,4,0,1101.5
221,0,2,0,0,1,0,1,2,1,4,0,1016.5
222,0,1,0,1,2,0,2,3,1,5,1,287.75
223,0,1,0,0,1,0,0,3,1,6,0,841.25
224,0,1,1,1,1,0,0,3,2,6,1,911.75
225,1,0,0,0,1,0,0,1,1,3,0,1141.5
226,0,0,0,1,1,0,2,1,1,4,1,946.25
227,0,1,0,0,1,0,2,3,1,5,1,1190.25
228,0,0,0,1,1,0,2,3,1,4,1,924.0
229,0,1,1,0,1,0,0,2,1,4,0,823.75
230,0,2,1,1,1,0,2,3,1,4,0,1006.0
231,0,2,0,0,1,0,0,1,1,4,1,1008.75
232,0,2,0,0,1,0,1,2,1,3,0,1128.0
233,0,1,1,2,2,0,0,2,1,1,1,1340.5
234,0,2,1,0,1,1,0,3,1,3,0,1371.0
235,0,1,0,1,1,0,0,1,2,3,0,1331.25
236,0,2,1,0,1,1,2,2,1,3,1,704.5
237,0,0,1,1,1,0,2,1,2,3,1,1509.0
238,0,1,1,2,2,0,0,3,1,3,0,203.25
239,0,0,1,2,1,0,1,1,1,2,1,1034.0
240,0,0,1,1,1,0,0,3,1,5,0,1007.25
241,0,0,0,1,1,0,2,3,1,4,1,874.0
242,0,2,0,1,2,0,2,1,2,4,1,1148.0
243,0,0,0,2,1,0,0,3,1,3,1,229.25
244,0,2,1,1,1,0,2,2,1,3,0,962.75
245,0,2,1,1,1,0,0,4,1,5,0,1437.75
246,0,0,0,0,1,0,2,1,1,4,1,1281.5
247,0,0,0,1,1,0,2,2,1,3,1,1029.5
248,0,0,1,0,1,0,2,2,1,2,0,883.75
249,0,0,0,1,1,0,0,4,2,4,0,1144.5
250,0,2,0,1,1,0,1,2,2,3,1,1117.0
251,1,0,0,2,1,0,1,1,1,5,1,1047.75
252,0,0,1,0,1,0,1,4,1,4,1,992.5
253,0,0,0,0,1,0,2,1,1,1,1,1065.25
254,0,2,1,0,1,0,0,4,1,3,0,1526.0
255,0,0,0,1,1,0,1,2,1,2,1,1741.75
256,0,1,0,1,2,0,2,1,2,3,0,342.5
257,0,0,0,1,1,0,1,3,1,5,0,935.75
258,0,2,1,0,1,0,0,1,1,1,1,1058.5
259,0,2,0,1,1,0,1,3,1,3,1,855.0
260,0,1,1,1,1,0,1,1,2,5,0,1263.0
261,0,1,0,1,2,0,1,1,1,6,1,1094.25
262,0,0,1,2,1,0,2,2,1,2,0,228.25
263,0,1,1,1,1,0,0,1,2,3,0,1265.0
264,1,0,1,1,1,0,0,4,1,4,0,1034.0
265,0,2,1,1,1,0,0,2,2,2,1,1210.25
266,0,1,0,0,1,0,2,2,1,3,1,1150.5
267,0,2,1,0,2,0,1,2,1,3,1,691.5
268,0,2,0,1,1,0,1,2,1,3,1,1296.25
269,0,2,0,1,1,0,1,2,2,3,1,690.5
270,0,1,0,1,1,0,1,1,1,4,1,1161.25
271,0,1,0,0,1,1,0,3,1,1,1,874.25
272,0,1,1,0,1,0,2,2,1,2,1,1272.75
273,0,0,0,0,2,0,0,1,1,3,0,1028.75
274,0,1,0,1,2,0,1,1,1,4,0,677.25
275,0,0,1,2,1,0,0,3,1,4,0,1053.25
276,0,2,1,0,1,0,2,1,1,3,0,1022.0
277,0,2,0,1,1,0,1,3,2,3,1,1024.0
278,1,2,1,2,2,0,0,1,1,1,1,887.25
279,0,0,0,1,1,0,1,2,2,4,0,1163.25
280,0,2,0,2,1,0,0,2,1,3,0,139.0
281,0,2,0,1,1,0,2,4,1,3,1,1164.5
282,1,1,1,0,1,1,0,2,1,4,1,984.0
283,0,0,0,0,1,1,1,2,1,4,1,735.75
284,0,1,0,1,1,0,2,2,1,3,1,1176.0
285,0,0,1,1,1,0,1,3,2,5,0,1504.5
286,1,2,1,0,2,0,0,4,1,3,1,881.25
287,0,1,1,1,1,0,0,2,1,3,1,1168.5
288,1,1,0,0,2,0,0,3,2,3,1,1107.5
289,0,0,0,1,2,0,2,2,1,4,0,129.75
290,0,2,1,0,1,0,2,3,2,1,0,1033.75
291,0,2,1,1,1,0,2,1,1,4,1,742.25
292,0,1,1,1,2,0,2,2,1,3,1,1423.25
293,0,0,0,1,1,1,2,1,1,4,1,239.25
294,0,2,1,1,1,0,2,2,1,3,0,1143.75
295,0,0,1,1,1,0,2,2,1,5,0,828.0
296,0,0,0,1,1,1,2,1,1,4,0,873.25
297,0,1,1,2,1,0,1,3,1,4,1,734.0
298,0,1,1,1,1,0,2,1,1,4,1,661.25
299,0,2,1,2,1,0,2,1,1,3,1,1159.25
300,0,2,1,1,1,1,1,3,1,2,0,1005.5
301,1,1,1,2,1,0,0,2,1,4,1,896.25
302,0,0,0,1,1,0,2,2,2,5,1,1101.75
303,0,1,1,0,1,1,0,2,1,4,0,278.0
304,0,2,0,1,2,1,1,3,1,5,0,715.25
305,0,2,0,1,1,0,0,1,1,5,1,1611.5
306,0,2,0,2,2,0,2,2,1,3,0,914.25
307,0,2,0,2,3,0,0,1,1,4,1,253.25
308,0,1,0,0,1,0,1,3,1,4,0,1035.25
309,0,0,0,0,2,1,1,1,1,2,0,1261.75
310,0,2,1,1,1,0,1,2,1,3,0,275.5
311,0,0,1,1,1,0,1,3,1,5,0,755.5
312,0,0,1,0,1,0,1,1,1,3,1,1295.25
313,1,0,1,1,1,1,1,3,1,2,1,944.5
314,0,1,0,1,1,0,2,2,2,2,1,1148.25
315,0,0,1,1,1,0,2,2,1,4,0,172.75
316,0,2,1,1,2,0,2,3,1,4,1,756.0
317,0,0,1,2,2,0,0,1,1,4,1,1486.75
318,0,2,1,0,1,1,0,1,1,5,0,1076.0
319,0,0,1,1,1,1,2,2,1,5,1,1094.0
320,0,2,0,0,1,0,1,2,1,4,1,287.25
321,1,0,1,1,1,0,0,1,1,4,1,916.5
322,0,1,1,0,1,0,1,3,1,3,0,1376.75
323,0,0,1,1,1,0,0,2,1,4,0,648.75
324,0,2,1,1,1,0,2,1,1,4,0,940.5155624165554
325,0,2,1,0,1,0,0,2,1,4,1,683.25
326,0,2,0,1,1,0,0,1,1,5,0,979.25
327,0,1,1,2,1,0,2,2,2,4,0,913.75
328,0,0,0,1,1,1,2,4,1,3,1,755.25
329,0,1,0,1,1,0,0,2,1,2,0,1000.75
330,0,2,1,1,1,0,0,2,1,5,1,1107.0
331,0,2,0,1,1,0,2,2,1,5,1,762.25
332,0,2,0,2,1,0,1,2,1,3,1,1223.5
333,0,0,1,0,1,0,1,2,1,2,1,932.5
334,0,1,0,1,1,0,0,2,1,3,1,967.75
335,0,2,1,0,2,0,0,2,1,4,1,222.75
336,0,2,1,1,2,0,0,1,2,2,0,1003.75
337,0,0,1,1,1,0,2,2,1,3,1,1221.0
338,0,1,1,2,3,0,0,1,1,4,1,915.5
339,0,1,1,1,1,0,1,3,1,3,1,984.25
340,0,1,0,1,1,1,2,2,1,2,1,1266.5
341,0,2,1,2,2,0,1,2,1,4,1,899.5
342,0,1,1,2,1,0,1,3,1,2,0,1224.5
343,1,2,1,0,1,0,0,2,1,5,0,1735.25
344,0,1,0,1,2,0,2,1,2,4,1,1057.75
345,0,2,0,0,1,0,2,4,1,2,1,1196.25
346,0,1,0,1,1,0,1,2,2,5,1,219.5
347,0,0,0,1,1,0,2,2,2,3,1,1113.25
348,0,2,0,1,2,1,2,2,1,4,1,969.25
349,0,0,0,1,1,0,0,1,1,5,1,823.25
350,1,2,1,1,2,0,0,1,1,4,1,992.25
351,0,1,1,1,3,0,0,2,2,4,0,750.75
352,0,2,0,1,1,0,2,1,2,4,1,1101.75
353,0,0,1,2,1,0,0,3,1,3,0,756.75
354,0,2,0,2,1,0,0,1,1,5,1,1092.0
355,0,2,0,1,2,0,1,3,1,4,1,1072.0
356,0,1,1,0,1,0,2,2,1,3,1,910.25
357,0,2,0,1,1,0,1,3,1,5,1,884.5
358,0,2,1,0,1,0,1,3,1,6,1,1007.75
359,0,2,0,2,2,1,2,2,1,3,1,1069.0
360,0,1,0,0,1,0,0,2,1,3,1,257.5
361,0,0,1,1,1,0,0,1,1,3,0,1095.25
362,0,1,0,2,1,0,0,2,2,3,1,1157.5
363,0,0,0,1,1,0,1,2,2,2,0,1015.75
364,0,0,1,0,2,0,2,2,1,4,0,986.5
365,0,1,0,2,1,1,1,3,1,3,1,962.0
366,0,1,0,1,1,0,1,2,1,3,1,940.75
367,0,1,1,2,2,1,1,1,1,3,0,1049.75
368,0,2,1,0,2,0,2,1,1,3,1,708.75
369,0,0,1,0,2,0,2,4,1,4,0,1170.25
370,0,1,1,2,1,0,2,1,1,5,1,1255.5
371,0,0,0,0,1,0,2,1,1,3,0,1246.0
372,0,1,0,0,1,0,0,1,1,3,1,911.5
373,0,1,1,1,1,0,2,2,2,4,1,885.75
374,0,2,1,1,2,0,0,1,1,2,1,1101.25
375,0,0,1,1,2,0,0,2,1,4,1,1018.75
376,0,2,0,1,2,0,2,2,1,3,1,1506.0
377,0,2,0,2,1,1,2,1,1,3,0,922.0
378,0,2,0,0,1,0,0,3,1,4,1,1157.75
379,1,2,1,1,1,0,2,2,1,3,0,1028.75
380,0,2,1,1,1,1,0,2,1,2,0,1233.0
381,0,1,1,2,1,0,1,2,1,4,1,1749.25
382,0,2,1,2,2,1,2,1,1,3,1,946.25
383,0,2,0,2,1,0,0,2,1,2,1,1762.0
384,0,0,1,1,1,0,1,1,1,3,1,1180.0
385,0,1,0,1,1,0,2,1,1,5,1,898.5
386,0,1,0,2,2,0,2,2,2,4,1,984.0
387,0,2,1,2,1,0,1,2,1,3,1,1100.5
388,0,2,0,2,1,0,2,1,2,3,1,765.25
389,0,0,0,1,2,0,0,2,1,4,1,1076.75
390,0,1,1,1,1,0,1,2,1,5,1,970.0
391,0,0,1,1,3,0,2,1,2,4,1,1206.0
392,0,1,0,0,1,0,2,2,1,3,1,292.0
393,0,0,1,1,1,0,0,2,1,4,1,1001.0
394,0,2,0,1,1,0,1,1,1,2,1,920.25
395,0,2,0,1,1,0,2,2,2,1,1,925.75
396,0,1,0,2,1,0,1,1,1,4,0,673.75
397,0,0,1,1,1,0,0,2,1,4,0,996.25
398,0,0,0,0,2,1,1,2,1,5,1,246.0
399,0,1,1,1,1,0,1,1,1,4,1,1135.25
400,0,1,1,1,1,0,2,2,1,3,0,929.0
401,0,2,0,2,2,0,2,2,1,3,1,1241.0
402,0,2,0,1,1,0,0,2,2,5,1,790.75
403,1,1,1,0,1,0,0,2,1,4,0,1364.75
404,0,2,1,2,1,0,2,3,2,3,1,785.5
405,0,0,1,1,1,0,1,2,1,3,0,1074.25
406,0,0,1,1,1,0,2,2,2,4,1,1041.0
407,0,0,1,1,1,0,1,1,1,4,1,1097.0
408,0,2,0,1,1,0,2,4,1,2,1,1130.0
409,0,1,1,0,2,0,2,1,1,1,1,1186.75
410,0,1,1,2,1,0,0,1,1,3,1,1058.5
411,0,0,0,1,1,0,0,3,1,4,0,1048.75
412,0,2,0,2,1,0,0,2,1,3,0,1036.0
413,1,2,1,1,2,0,0,1,1,3,1,841.75
414,0,0,0,1,2,0,1,2,1,3,1,753.75
415,0,2,0,0,1,0,2,3,2,4,0,1009.0
416,0,2,1,2,1,0,1,2,1,1,0,1340.0
417,0,2,1,1,2,0,0,4,1,3,1,782.75
418,0,0,0,2,2,0,0,4,1,3,1,1162.25
419,0,2,0,1,2,0,2,3,1,3,1,250.5
420,0,2,0,0,2,0,0,2,1,4,1,966.75
421,0,2,1,2,1,0,2,2,1,3,0,1233.5
422,0,2,0,1,1,0,1,3,1,2,0,1778.75
423,0,0,1,0,2,0,0,2,1,3,1,954.75
424,1,0,1,1,2,0,0,1,1,4,0,1327.25
425,0,1,0,1,1,0,1,2,1,5,0,966.0
426,0,0,0,0,1,0,0,2,1,5,1,1028.25
427,0,0,1,1,1,1,2,1,2,4,1,795.5
428,0,2,0,1,1,0,0,2,1,4,1,1171.75
429,0,1,1,0,1,1,0,1,2,5,0,686.0
430,0,0,1,1,1,0,0,1,1,4,1,1094.25
431,0,0,0,1,1,0,1,2,1,4,0,107.75
432,0,0,0,2,1,1,0,2,2,3,1,962.5
433,0,1,1,0,1,0,2,3,2,5,1,783.75
434,0,1,0,1,1,0,1,2,1,4,1,1255.75
435,0,1,0,1,1,0,0,1,1,3,1,1255.75
436,0,1,0,1,1,0,2,2,1,4,1,1005.25
437,0,2,0,1,2,0,2,2,1,5,1,821.25
438,0,0,0,1,1,0,1,1,1,2,1,635.25
439,0,1,1,0,1,0,1,2,1,3,1,1154.0
440,0,1,1,0,2,0,0,1,1,3,1,997.25
441,0,2,1,2,1,1,0,1,2,5,1,1106.25
442,0,0,1,1,1,0,0,2,1,4,1,179.5
443,0,2,1,1,1,0,2,2,1,6,1,946.75
444,0,2,0,0,1,0,2,1,1,4,0,1096.25
445,0,1,0,2,1,0,0,2,1,2,1,279.0
446,0,0,0,1,1,0,2,1,1,4,0,285.0
447,0,0,1,1,1,1,2,3,2,3,1,1100.5
448,1,0,1,0,1,1,0,1,1,4,1,1034.75
449,0,1,0,2,1,1,1,1,1,4,0,1113.25
450,0,0,1,2,1,1,2,2,1,4,0,1262.25
451,0,1,1,2,1,0,2,1,1,5,1,1159.0
452,0,2,0,1,1,0,1,1,1,3,0,980.0
453,0,0,0,1,1,0,0,1,1,6,1,1085.5
454,0,1,0,0,2,0,2,1,1,2,0,812.25
455,0,0,0,1,1,0,1,1,1,3,0,237.75
456,0,1,1,0,1,0,0,3,1,3,0,1055.5
457,0,1,1,0,1,0,1,2,2,2,1,941.25
458,0,0,0,0,1,0,0,2,1,2,1,1005.0
459,0,0,1,1,1,1,0,2,1,4,1,1066.25
460,0,2,0,1,1,0,2,2,1,3,1,1452.25
461,0,1,1,1,1,0,0,2,1,4,0,137.0
462,0,2,1,2,2,0,0,3,1,3,0,781.0
463,0,0,0,0,1,0,0,1,1,3,1,900.75
464,0,0,0,1,1,0,2,2,2,4,0,1135.0
465,0,1,0,1,1,0,1,3,1,3,1,1054.25
466,0,0,1,1,1,0,0,2,1,4,0,1191.5
467,1,1,0,1,1,0,0,3,1,4,0,938.25
468,0,2,0,1,1,1,2,2,1,3,1,794.75
469,0,1,0,1,1,1,1,3,1,4,1,983.25
470,0,2,0,1,1,1,0,1,1,4,0,672.5
471,0,2,1,1,1,0,2,3,1,5,0,956.25
472,0,2,1,0,1,0,1,2,1,5,0,1179.0
473,0,0,0,1,1,0,1,1,1,3,1,1168.0
474,0,2,1,2,1,0,2,3,1,4,1,974.0
475,0,0,0,0,1,0,1,2,1,3,1,1071.75
476,0,0,0,1,1,0,1,3,1,5,1,1164.5
477,0,1,0,2,1,0,0,1,1,3,1,806.75
478,1,0,1,1,2,0,2,2,1,3,1,1054.75
479,0,1,0,2,2,0,0,1,1,2,0,1229.5
480,0,0,1,1,1,0,1,2,1,4,1,1122.0
481,0,0,0,1,2,0,1,1,1,5,1,832.25
482,0,2,0,1,1,0,2,1,3,1,0,822.0
483,0,2,0,0,1,0,1,3,1,2,1,751.0
484,0,0,1,2,1,0,1,3,2,4,0,1449.5
485,0,2,0,2,1,0,1,2,1,2,1,1018.75
